Ref,Val,Package,PosX,PosY,Rot,Side
"C1","33uF","CP_EIA-7343-31_Kemet-D",136.325000,-91.075000,-90.000000,bottom
"C2","10uF","C_0603_1608Metric",141.675000,-91.375000,-90.000000,bottom
"C3","10uF","C_0603_1608Metric",140.200000,-91.375000,-90.000000,bottom
"C7","0.1uF","C_0402_1005Metric",149.420000,-87.780000,-90.000000,bottom
"C8","1000pF","C_0805_2012Metric",160.290000,-93.250000,0.000000,bottom
"C9","100uF","C_1206_3216Metric",148.930000,-99.430000,-90.000000,bottom
"C10","100uF","C_1206_3216Metric",146.630000,-99.430000,-90.000000,bottom
"C11","100uF","C_1206_3216Metric",144.330000,-99.430000,-90.000000,bottom
"C12","100uF","C_1206_3216Metric",142.030000,-99.430000,-90.000000,bottom
"C13","100uF","C_1206_3216Metric",139.730000,-99.430000,-90.000000,bottom
"C14","100uF","C_1206_3216Metric",137.430000,-99.430000,-90.000000,bottom
"C15","1uF","C_0402_1005Metric",140.539232,-85.240000,-90.000000,bottom
"C16","4.7uF","C_0402_1005Metric",141.629232,-85.700000,-90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",126.840000,-53.640000,90.000000,bottom
"C18","100pF","C_0402_1005Metric",141.650000,-83.010000,90.000000,bottom
"C19","1uF","C_0402_1005Metric",150.040000,-84.680000,-90.000000,bottom
"C20","33pF","C_0402_1005Metric",143.240000,-81.690000,0.000000,bottom
"C22","33uF","CP_EIA-7343-31_Kemet-D",112.475000,-91.300000,-90.000000,bottom
"C23","10uF","C_0603_1608Metric",117.325000,-91.200000,-90.000000,bottom
"C24","10uF","C_0603_1608Metric",115.850000,-91.200000,-90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",126.000000,-87.350000,-90.000000,bottom
"C29","1000pF","C_0805_2012Metric",127.725000,-87.375000,90.000000,bottom
"C30","100uF","C_1206_3216Metric",120.980000,-99.460000,-90.000000,bottom
"C31","100uF","C_1206_3216Metric",118.680000,-99.460000,-90.000000,bottom
"C32","100uF","C_1206_3216Metric",116.380000,-99.460000,-90.000000,bottom
"C33","100uF","C_1206_3216Metric",114.080000,-99.460000,-90.000000,bottom
"C34","100uF","C_1206_3216Metric",111.780000,-99.460000,-90.000000,bottom
"C35","100uF","C_1206_3216Metric",109.467500,-99.460000,-90.000000,bottom
"C36","1uF","C_0402_1005Metric",116.620000,-82.540000,-90.000000,bottom
"C37","4.7uF","C_0402_1005Metric",116.130000,-84.320000,0.000000,bottom
"C38","10uF","C_0603_1608Metric",116.150000,-110.350000,-90.000000,bottom
"C39","10uF","C_0603_1608Metric",140.955000,-50.881821,90.000000,bottom
"C41","10uF","C_0603_1608Metric",122.980000,-144.375000,-90.000000,bottom
"C42","1uF","C_0402_1005Metric",125.700000,-84.500000,-90.000000,bottom
"C43","10uF","C_0603_1608Metric",134.555000,-52.781821,90.000000,bottom
"C44","10uF","C_0603_1608Metric",133.005000,-52.781821,90.000000,bottom
"C45","33pF","C_0402_1005Metric",120.900000,-82.250000,180.000000,bottom
"C46","1uF","C_0402_1005Metric",138.270000,-58.700000,90.000000,bottom
"C47","1uF","C_0402_1005Metric",131.980000,-58.700000,90.000000,bottom
"C48","12pF","C_0402_1005Metric",103.700000,-76.820000,-90.000000,bottom
"C49","10uF","C_0603_1608Metric",106.650000,-46.150000,180.000000,bottom
"C51","0.1uF","C_0402_1005Metric",106.320000,-100.400000,90.000000,bottom
"C52","0.1uF","C_0402_1005Metric",105.150000,-99.580000,90.000000,bottom
"C53","0.1uF","C_0402_1005Metric",102.420000,-117.550000,90.000000,bottom
"C54","10uF","C_0603_1608Metric",114.550000,-110.350000,-90.000000,bottom
"C55","10uF","C_0603_1608Metric",112.990000,-110.350000,-90.000000,bottom
"C56","10uF","C_0603_1608Metric",111.400000,-110.350000,-90.000000,bottom
"C57","10uF","C_0603_1608Metric",109.800000,-110.350000,-90.000000,bottom
"C58","10uF","C_0603_1608Metric",152.200000,-110.350000,-90.000000,bottom
"C59","10uF","C_0603_1608Metric",150.600000,-110.350000,-90.000000,bottom
"C60","10uF","C_0603_1608Metric",149.000000,-110.350000,-90.000000,bottom
"C61","10uF","C_0603_1608Metric",147.400000,-110.350000,-90.000000,bottom
"C62","10uF","C_0603_1608Metric",145.800000,-110.350000,-90.000000,bottom
"C64","1uF","C_0402_1005Metric",108.125000,-109.675000,90.000000,bottom
"C65","1uF","C_0402_1005Metric",107.125000,-108.725000,90.000000,bottom
"C66","1uF","C_0402_1005Metric",108.125000,-107.775000,90.000000,bottom
"C67","1uF","C_0402_1005Metric",109.150000,-106.850000,90.000000,bottom
"C68","1uF","C_0402_1005Metric",116.750000,-106.825000,-90.000000,bottom
"C69","1uF","C_0402_1005Metric",117.750000,-107.800000,-90.000000,bottom
"C70","1uF","C_0402_1005Metric",118.775000,-108.875000,-90.000000,bottom
"C71","1uF","C_0402_1005Metric",117.725000,-109.750000,-90.000000,bottom
"C72","1uF","C_0402_1005Metric",143.925000,-109.700000,90.000000,bottom
"C73","1uF","C_0402_1005Metric",142.900000,-108.900000,90.000000,bottom
"C74","1uF","C_0402_1005Metric",143.925000,-107.800000,90.000000,bottom
"C75","1uF","C_0402_1005Metric",144.940000,-106.830000,90.000000,bottom
"C76","1uF","C_0402_1005Metric",153.010000,-106.790000,-90.000000,bottom
"C77","1uF","C_0402_1005Metric",154.050000,-107.775000,-90.000000,bottom
"C78","1uF","C_0402_1005Metric",155.050000,-108.650000,-90.000000,bottom
"C79","1uF","C_0402_1005Metric",154.050000,-109.675000,-90.000000,bottom
"C80","1uF","C_0402_1005Metric",108.040000,-116.900000,90.000000,bottom
"C81","1uF","C_0402_1005Metric",109.170000,-116.910000,90.000000,bottom
"C82","1uF","C_0402_1005Metric",118.240000,-116.920000,90.000000,bottom
"C83","1uF","C_0402_1005Metric",117.070000,-116.930000,90.000000,bottom
"C84","1uF","C_0402_1005Metric",145.150000,-117.100000,90.000000,bottom
"C85","1uF","C_0402_1005Metric",143.950000,-117.090000,90.000000,bottom
"C86","1uF","C_0402_1005Metric",152.750000,-117.090000,90.000000,bottom
"C87","1uF","C_0402_1005Metric",153.950000,-117.090000,90.000000,bottom
"C88","1uF","C_0402_1005Metric",102.240000,-127.430000,-90.000000,bottom
"C89","1uF","C_0402_1005Metric",107.600000,-127.450000,-90.000000,bottom
"C90","1uF","C_0402_1005Metric",102.230000,-123.110000,-90.000000,bottom
"C91","1uF","C_0402_1005Metric",107.590000,-123.130000,-90.000000,bottom
"C92","0.1uF","C_0402_1005Metric",121.370000,-138.760000,-90.000000,bottom
"C93","470pF","C_0402_1005Metric",121.620000,-135.750000,180.000000,bottom
"C94","0.1uF","C_0402_1005Metric",112.990000,-136.830000,180.000000,bottom
"C95","470pF","C_0402_1005Metric",119.340000,-134.670000,180.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",154.500000,-148.000000,180.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",106.900000,-39.900000,180.000000,bottom
"J1","XT30","XT30PW-M",150.350000,-57.750000,90.000000,bottom
"J2","Conn_01x08","FPC-SMD_P0.50-8P_FGS-XJ-H2.0",137.320000,-42.840000,180.000000,bottom
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A",122.350000,-41.960000,0.000000,bottom
"J5","Screw_Terminal_01x01","WA-SMSI_9774005360",106.000000,-87.000000,180.000000,bottom
"J6","Screw_Terminal_01x01","WA-SMSI_9774005360",156.000000,-87.000000,180.000000,bottom
"J9","Screw_Terminal_01x01","WA-SMSI_9774005360",106.000000,-137.000000,180.000000,bottom
"J10","Screw_Terminal_01x01","WA-SMSI_9774005360",156.000000,-137.000000,180.000000,bottom
"L1","300nH","SLC1175-271MEC_COC",154.550000,-98.340000,-90.000000,bottom
"L2","300nH","SLC1175-271MEC_COC",126.510000,-98.430000,-90.000000,bottom
"R1","49.9","R_0402_1005Metric",139.970000,-83.570000,180.000000,bottom
"R2","1","R_0805_2012Metric",160.430000,-96.270000,-90.000000,bottom
"R3","10","R_0402_1005Metric",140.549232,-87.260000,90.000000,bottom
"R5","10k","R_0402_1005Metric",127.920000,-53.640000,-90.000000,bottom
"R6","10k","R_0402_1005Metric",127.340000,-55.410000,0.000000,bottom
"R8","49.9","R_0402_1005Metric",139.950000,-82.440000,0.000000,bottom
"R14","5.1k","R_0402_1005Metric",130.090000,-45.770000,90.000000,bottom
"R15","1","R_0805_2012Metric",129.172500,-84.520000,0.000000,bottom
"R16","10","R_0402_1005Metric",114.960000,-82.990000,0.000000,bottom
"R17","20k","R_0402_1005Metric",138.830000,-49.581821,0.000000,bottom
"R18","10k","R_0402_1005Metric",136.105000,-49.631821,0.000000,bottom
"R19","10k","R_0402_1005Metric",118.790000,-82.250000,0.000000,bottom
"R20","10k","R_0402_1005Metric",103.700000,-74.320000,90.000000,bottom
"R21","4.7k","R_0402_1005Metric",151.480000,-47.690000,180.000000,bottom
"R22","4.7k","R_0402_1005Metric",127.370000,-56.810000,180.000000,bottom
"R23","20k","R_0402_1005Metric",101.840000,-100.630000,180.000000,bottom
"R24","10k","R_0402_1005Metric",104.300000,-112.750000,0.000000,bottom
"R25","5.1k","R_0402_1005Metric",128.680000,-45.770000,90.000000,bottom
"R26","1k","R_0402_1005Metric",104.300000,-114.040000,0.000000,bottom
"R27","2k","R_0402_1005Metric",138.690000,-117.920000,90.000000,bottom
"R28","1k","R_0402_1005Metric",143.740000,-114.030000,90.000000,bottom
"R29","0","R_0402_1005Metric",122.170000,-134.240000,90.000000,bottom
"R30","10k","R_0402_1005Metric",114.670000,-137.310000,90.000000,bottom
"R31","5.6k","R_0402_1005Metric",114.670000,-139.460000,-90.000000,bottom
"R32","0","R_0402_1005Metric",121.120000,-134.240000,90.000000,bottom
"R33","10k","R_0402_1005Metric",116.610000,-134.170000,90.000000,bottom
"R34","0","R_0402_1005Metric",119.840000,-133.170000,90.000000,bottom
"R35","Rtrip","R_0402_1005Metric",117.660000,-134.170000,-90.000000,bottom
"R36","0","R_0402_1005Metric",118.790000,-133.170000,90.000000,bottom
"R40","4.7k","R_0402_1005Metric",151.480000,-46.470000,180.000000,bottom
"SW1","SWITCH-SPST","SW_TL3330AF130QG_EWI",100.400000,-75.390000,90.000000,bottom
"SW2","SWITCH-SPST","SW_TL3330AF130QG_EWI",161.600000,-75.440000,-90.000000,bottom
"U1","TPS546D24S","LQFN40-CLIP",145.350000,-87.250000,180.000000,bottom
"U2","SN74AVC4T774","BQB0016A-MFG",103.830000,-103.130000,90.000000,bottom
"U3","TPSM861253RDXR","TPSM863257RDX",137.680000,-53.181821,180.000000,bottom
"U4","TPS546D24S","LQFN40-CLIP",121.000000,-87.250000,180.000000,bottom
"U5","L78L05_SOT89","SOT-89-3",135.137500,-59.760000,-90.000000,bottom
"U6","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",114.270000,-56.750000,-90.000000,bottom
"U8","25MHz","SMD3225-4P",104.800000,-117.540000,90.000000,bottom
"U11","MCP1824T-1202E/OT","SOT-23-5",104.922500,-126.830000,0.000000,bottom
"U12","MCP1824T-0802E","SOT-23-5",104.912500,-122.572500,0.000000,bottom
"U13","EMC2103-2","QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",118.095000,-138.135000,180.000000,bottom
